Unrealized Profit & Loss by Tax Lot
Unrealized Profit/(Loss)	Unrealized Profit/(Loss)
Cost Basis	Market Value	Short-Term	Long-Term	Net	%
$6,652.42	$1,551.30	-	($5,101.12)	($5,101.12)	(76.68%)
$228.66	$36.36	-	($192.30)	($192.30)	(84.10%)
$2,858.69	$539.32	-	($2,319.37)	($2,319.37)	(81.13%)
$1,542.67	$296.93	-	($1,245.74)	($1,245.74)	(80.75%)
$713.12	$151.49	-	($561.63)	($561.63)	(78.76%)
$2,814.93	$630.21	-	($2,184.72)	($2,184.72)	(77.61%)
$904.91	$218.15	-	($686.76)	($686.76)	(75.89%)
$578.49	$121.19	-	($457.30)	($457.30)	(79.05%)
$2,250.49	$1,302.85	-	($947.64)	($947.64)	(42.11%)
$4,493.42	$2,240.05	-	($2,253.37)	($2,253.37)	(50.15%)
$3,460.20	$6,387.15	$2,926.95	-	$2,926.95	84.59%
$8,955.94	$5,427.73	-	($3,528.21)	($3,528.21)	(39.40%)
$120.20	$73.15	-	($47.05)	($47.05)	(39.14%)
$2,737.92	$1,814.12	-	($923.80)	($923.80)	(33.74%)
$664.20	$438.90	-	($225.30)	($225.30)	(33.92%)
$240.00	$146.30	-	($93.70)	($93.70)	(39.04%)
$2,736.00	$1,463.00	-	($1,273.00)	($1,273.00)	(46.53%)
$502.40	$292.60	-	($209.80)	($209.80)	(41.76%)
$1,346.95	$804.65	-	($542.30)	($542.30)	(40.26%)
$767.20	$585.20	-	($182.00)	($182.00)	(23.72%)
$154.76	$102.41	-	($52.35)	($52.35)	(33.83%)
$4,628.08	$4,798.64	-	$170.56	$170.56	3.69%
$4,127.26	$3,891.58	-	($235.68)	($235.68)	(5.71%)
$4,014.25	$4,784.01	-	$769.76	$769.76	19.18%
$8,544.31	$10,837.50	-	$2,293.19	$2,293.19	26.84%
$837.88	$937.50	-	$99.62	$99.62	11.89%
Page 2 of 7
