Unrealized Profit & Loss by Tax Lot
Unrealized Profit/(Loss)	Unrealized Profit/(Loss)
Cost Basis	Market Value	Short-Term	Long-Term	Net	%
$622.70	$1,051.00	-	$428.30	$428.30	68.78%
$561.29	$882.84	-	$321.55	$321.55	57.29%
$412.77	$630.60	-	$217.83	$217.83	52.77%
$7,653.56	$7,530.00	-	($123.56)	($123.56)	(1.61%)
$4,295.21	$3,531.15	-	($764.06)	($764.06)	(17.79%)
$401.10	$359.10	-	($42.00)	($42.00)	(10.47%)
$1,162.97	$2,872.80	-	$1,709.83	$1,709.83	147.02%
$45.05	$59.85	-	$14.80	$14.80	32.85%
$3,964.40	$4,561.37	-	$596.97	$596.97	15.06%
$811.61	$829.34	-	$17.73	$17.73	2.18%
$913.88	$1,244.01	-	„ $330.13	$330.13	36.12%
$328.35	$414.67	-	$86.32	$86.32	26.29%
$2,871.00	$1.885.50	-	($985.50)	($985.50)	(34.33%)
$31.93	$20.95	-	($10.98)	($10.98)	(34.39%)
$60.96	$41.90	-	($19.06)	($19.06)	(31.27%)
$838.01	$921.80	-	$83.79	$83.79	10.00%
$626.12	$733.25	-	$107.13	$107.13	17.11%
$268.32	$167.60		($100.72)	($100.72)	(37.54%)
$3,837.42	$3,771.00	($66.42)	-	($66.42)	(1.73%)
$1,818.90	$1,885.50	$66.60	-	$66.60	3.66%
$6,259.50	$3,839.00	($2,420.50)	-	($2,420.50)	(38.67%)
$4,129.25	$7,409.41	-	$3,280.16	$3,280.16	79.44%
$142.83	$267.81	-	$124.98	$124.98	87.50%
$878.78	$1,249.78	-	$371.00	$371.00	42.22%
$8,239.07	$8,875.50	-	$636.43	$636.43	7.72%
$6,289.42	$3,878.28	-	($2,411.14)	($2,411.14)	(38.34%)
Page 2 of 5
