Unrealized Profit & Loss by Tax Lot
Unrealized Profit/(Loss)	Unrealized Profit/(Loss)
Cost Basis	Market Value	Short-Term	Long-Term	Net	%
$2,927.44	$3,225.00	-	$297.56	$297.56	10.16%
$761.75	$937.50	-	$175.75	$175.75	23.07%
$2,555.50	$3,562.50	-	$1,007.00	$1,007.00	39.41%
$4,861.35	' $11,844.52		$6,983.17	$6,983.17	143.65%
$2,894.06	$5,772.60		$2,878.54	$2,878.54	99.46%
$2,865,00	$5,345.00		$2,480.00	$2,480.00	86.56%
$460.33	$555.88		$95.55	$95.55	20.76%
$5,429.44	$3,924.97		($1,504.47)	($1,504.47)	(27.71%)
$2,094.20	$1,670.20		($424.00)	($424.00)	(20.25%)
$399.00	$334.04		($64.96)	($64.96)	(16.28%)
$1,123.58	$918.61		($204.97)	($204.97)	(18.24%)
$1,745.28	$1,336.16		($409.12)	($409.12)	(23.44%)
$4,823.52	$4,426.03		($397.49)	($397.49)	(8.24%)
$1,959.66	$2,254.77		$295.11	$295.11	15.06%
$1,662.54	$1,837.22	$174.68	-	$174.68	10.51%
$1,741.25	$2,087.75	$346.50	-	$346.50	19.90%
$7,256.59	$11,098.56	-	$3,841.97	$3,841.97	52.94%
$3,308.00	$6,348.04	-	$3,040.04	$3,040.04	91.90%
$133.64	$210.20	-	$76.56	$76.56	57.29%
$629.46	$756.72	-	$127.26	$127.26	20.22%
$1,430.94	$2,186.08	-	$755.14	$755.14	52.77%
$17,229.78	$16,942.50	-	($287.28)	($287.28)	(1.67%)
$2,898.72	$2,710.80	($187.92)	-	($187.92)	(6.48%)
$6,924.20	$6,701.70	($222.50)	-	($222.50)	(3.21%)
$6,916.02	$5,685.75	-	($1,230.27)	($1,230.27)	(17.79%)
$669.30	$598.50	-	($70.80)	($70.80)	(10.58%)
$3,855.60	$4,189.50	-	$333.90	$333.90	8.66%
$848.00	$2,094.75	-	$1,246.75	$1,246.75	147.02%
$1,182.50	$1,496.25	-	$313.75	$313.75	26.53%
$12,545.77	$15,313.59	$2,767.82	-	$2,767.82	22.06%
$1,466.02	$963.70	-	($502.32)	($502.32)	(34.26%)
Page 3 of 7
